dTime [s];measTemp [°C];calcTemp [°C]
0.999;52;26
1.998;52;25.0137
2.997;52;25.0002
3.996;52;25
4.995;52;25
5.99;52;25
6.989;52;25
7.988;52;25
8.987;52;25
9.986;51;25
10.985;51;25
11.984;51;25
12.983;51;25
13.982;51;25
14.981;51;25
15.98;51;25
16.979;51;25
17.978;51;25
18.977;51;25
19.976;51;25
20.975;51;25
21.974;51;25
22.974;51;25
23.973;51;25
24.972;51;25
25.971;51;25
26.97;51;25
27.969;51;25
28.968;51;25
29.967;50;25
30.965;50;25
31.965;50;25
32.964;50;25
33.963;50;25
34.962;50;25
35.961;50;25
36.96;50;25
37.959;50;25
38.958;50;25
39.957;50;25
40.956;50;25
41.951;50;25
42.951;50;25
43.95;50;25
44.949;50;25
45.948;50;25
46.947;50;25
47.946;50;25
48.945;50;25
49.944;49;25
50.943;49;25
51.942;49;25
52.941;49;25
53.94;49;25
54.939;49;25
55.938;49;25
56.937;49;25
57.936;49;25
58.935;49;25
59.934;49;25
60.933;49;25
61.932;49;25
62.931;49;25
63.93;49;25
64.929;50;25
65.928;50;25
66.927;50;25
67.926;49;25
68.925;49;25
69.924;49;25
70.923;49;25
71.922;49;25
72.921;49;25
73.92;49;25
74.919;49;25
75.918;49;25
76.917;49;25
77.916;49;25
78.911;49;25
79.91;49;25
80.909;48;25
81.908;48;25
82.907;48;25
83.906;48;25
84.905;48;25
85.904;48;25
86.903;48;25
87.902;48;25
88.901;48;25
89.9;49;25
90.899;49;25
91.898;49;25
92.897;49;25
93.896;49;25
94.895;49;25
95.894;49;25
96.893;49;25
97.892;49;25
98.891;49;25
99.89;49;25
100.889;49;25
101.888;49;25
102.887;49;25
103.886;49;25
104.885;49;25
105.884;49;25
106.883;49;25
107.882;49;25
108.881;49;25
109.88;49;25
110.879;48;25
111.878;48;25
112.877;48;25
113.872;48;25
114.871;48;25
115.87;48;25
116.869;48;25
117.868;48;25
118.867;48;25
119.866;48;25
120.865;48;25
121.864;48;25
122.863;48;25
123.862;48;25
124.86;48;25
125.86;49;25
126.859;49;25
127.858;49;25
128.857;49;25
129.857;49;25
130.856;48;25
131.855;48;25
132.854;48;25
133.852;48;25
134.852;48;25
135.851;48;25
136.85;48;25
137.849;48;25
138.848;47;25
139.847;47;25
140.846;47;25
141.845;47;25
142.844;47;25
143.843;48;25
144.842;48;25
145.841;48;25
146.84;48;25
147.839;48;25
148.838;48;25
149.833;47;25
150.836;48;25
151.831;47;25
152.83;48;25
153.829;48;25
154.828;48;25
155.827;48;25
156.826;48;25
157.825;48;25
158.824;48;25
159.823;48;25
160.822;48;25
161.821;48;25
162.82;48;25
163.819;48;25
164.818;48;25
165.817;48;25
166.816;48;25
167.815;48;25
168.814;47;25
169.813;47;25
170.812;48;25
171.811;48;25
172.81;48;25
173.809;48;25
174.808;48;25
175.807;48;25
176.806;48;25
177.805;48;25
178.804;48;25
179.803;48;25
180.802;48;25
181.801;48;25
182.8;47;25
183.799;47;25
184.798;47;25
185.793;47;25
186.792;47;25
187.791;48;25
188.79;48;25
190.289;47;25
191.288;47;25
192.287;47;25
193.286;47;25
194.285;47;25
195.284;47;25
196.283;47;25
197.282;47;25
198.281;47;25
199.28;47;25
200.279;47;25
201.278;47;25
202.277;47;25
203.276;47;25
204.275;47;25
205.274;47;25
206.273;47;25
207.272;47;25
208.271;47;25
209.27;47;25
210.269;47;25
211.268;47;25
212.267;47;25
213.266;46;25
214.265;46;25
215.264;46;25
216.263;46;25
217.262;46;25
218.261;46;25
219.26;47;25
220.259;47;25
221.255;47;25
222.254;47;25
223.257;47;25
224.252;47;25
225.251;47;25
226.25;46;25
227.249;46;25
228.248;46;25
229.247;47;25
230.246;47;25
231.245;47;25
232.244;47;25
233.243;47;25
234.242;46;25
235.241;46;25
236.24;46;25
237.239;46;25
238.238;46;25
239.237;46;25
240.236;46;25
241.235;46;25
242.234;46;25
243.233;46;25
244.233;46;25
245.231;46;25
246.23;46;25
247.229;46;25
248.228;46;25
249.227;46;25
250.226;46;25
251.225;46;25
252.224;46;25
253.223;46;25
254.222;46;25
255.221;46;25
256.22;46;25
257.215;46;25
258.214;46;25
259.213;46;25
260.212;46;25
261.211;46;25
262.21;46;25
263.209;46;25
264.212;46;25
265.207;46;25
266.207;46;25
267.206;46;25
268.205;46;25
269.204;46;25
270.204;45;25
271.203;45;25
272.202;45;25
273.201;45;25
274.2;45;25
275.199;45;25
276.198;45;25
277.197;45;25
278.197;45;25
279.196;45;25
280.195;45;25
281.194;45;25
282.194;45;25
283.193;45;25
284.192;45;25
285.191;45;25
286.191;45;25
287.19;45;25
288.189;45;25
289.188;45;25
290.188;45;25
291.187;45;25
292.186;45;25
293.181;45;25
294.18;45;25
295.179;45;25
296.178;45;25
297.177;45;25
298.176;45;25
299.175;45;25
300.174;45;25
301.173;45;25
302.172;45;25
303.171;45;25
304.17;45;25
305.169;45;25
306.169;45;25
307.168;45;25
308.167;45;25
309.166;45;25
310.165;45;25
311.164;45;25
312.163;45;25
313.162;45;25
314.161;45;25
315.16;45;25
316.159;45;25
317.158;45;25
318.157;44;25
319.156;44;25
320.155;44;25
321.154;44;25
322.153;44;25
323.152;44;25
324.151;44;25
325.15;44;25
326.149;45;25
327.148;45;25
328.147;45;25
329.142;45;25
330.141;45;25
331.141;45;25
332.14;45;25
333.139;45;25
334.138;45;25
335.137;45;25
336.136;45;25
337.135;45;25
338.134;45;25
339.133;45;25
340.132;45;25
341.131;45;25
342.13;45;25
343.129;45;25
344.128;45;25
345.127;45;25
346.126;45;25
347.125;45;25
348.124;45;25
349.126;44;25
